City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
117,Sangolqui,EC,-0.3341,-78.4522,64.89,91,98,1.54,light rain
118,Puerto Escondido,MX,15.85,-97.0667,86.83,66,40,14.97,scattered clouds
119,Sambava,MG,-14.2667,50.1667,73.76,83,87,10.02,overcast clouds
120,Vanimo,PG,-2.6741,141.3028,78.66,85,98,4.07,overcast clouds
121,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.49,87,23,8.59,few clouds
122,Avarua,CK,-21.2078,-159.775,75.25,78,75,5.75,broken clouds
123,Dongzhen,CN,22.3797,110.9389,64.22,89,100,4.38,overcast clouds
124,Axim,GH,4.8699,-2.2405,79.99,83,79,6.71,light rain
125,Ilulissat,GL,69.2167,-51.1,41.02,38,6,12.66,clear sky
126,Huicheng,CN,23.0385,116.2899,70.57,80,99,8.23,overcast clouds
127,Vrangel,RU,42.7297,133.0839,40.55,97,100,6.02,overcast clouds
128,Normandin,CA,48.8333,-72.5321,68.31,30,100,14.97,overcast clouds
129,Luderitz,NA,-26.6481,15.1594,59.32,63,0,13.65,clear sky
130,Laguna,US,38.421,-121.4238,89.01,37,0,5.75,clear sky
131,Nikolskoye,RU,59.7035,30.7861,41.81,70,47,6.51,scattered clouds
132,Kropotkin,RU,45.4375,40.5756,50.14,94,100,9.53,overcast clouds
133,Beloha,MG,-25.1667,45.05,68.58,80,46,9.78,scattered clouds
134,Peleduy,RU,59.6289,112.7406,35.42,99,100,3.02,overcast clouds
135,Bethel,US,41.3712,-73.414,51.55,88,100,4.0,overcast clouds
136,Treinta Y Tres,UY,-33.2333,-54.3833,68.11,42,0,8.99,clear sky
137,Bredasdorp,ZA,-34.5322,20.0403,53.76,73,5,1.86,clear sky
138,Winburg,ZA,-28.518,27.0093,54.91,24,0,5.21,clear sky
139,Nuuk,GL,64.1835,-51.7216,39.81,65,0,5.75,clear sky
140,Krasnoselkup,RU,65.7,82.4667,21.06,90,12,18.75,few clouds
141,Hobart,AU,-42.8794,147.3294,50.05,67,0,11.5,clear sky
142,Kieta,PG,-6.2167,155.6333,83.43,74,79,3.29,broken clouds
143,Asfi,MA,32.2994,-9.2372,66.63,80,71,22.08,broken clouds
144,Niamey,NE,13.5137,2.1098,95.29,29,100,23.02,overcast clouds
145,Bandarbeyla,SO,9.4942,50.8122,82.89,76,100,10.2,overcast clouds
146,Chaiyaphum,TH,15.75,102.0,82.8,85,65,4.76,light rain
147,Thiruvananthapuram,IN,8.4833,76.9167,80.58,83,40,2.3,mist
148,Grindavik,IS,63.8424,-22.4338,39.15,44,0,10.36,clear sky
149,Sechura,PE,-5.5569,-80.8222,81.95,67,28,15.01,scattered clouds
150,Padang,ID,-0.9492,100.3543,78.85,89,86,2.84,overcast clouds
151,Zapolyarnyy,RU,69.4154,30.8136,29.48,93,100,24.7,overcast clouds
152,Tura,IN,25.5198,90.2201,68.56,86,44,3.53,scattered clouds
153,Khatanga,RU,71.9667,102.5,20.77,96,98,8.32,overcast clouds
154,Marsassoum,SN,12.8275,-15.9806,77.09,60,12,9.46,few clouds
155,Belmonte,BR,-15.8631,-38.8828,77.4,83,59,6.49,broken clouds
156,Xichang,CN,27.8964,102.2634,54.73,83,98,0.74,overcast clouds
157,Chokurdakh,RU,70.6333,147.9167,17.37,97,100,4.09,overcast clouds
158,Bella Union,UY,-30.2752,-57.6007,70.45,60,0,9.57,clear sky
159,Taperoa,BR,-7.2075,-36.8267,75.18,79,76,11.27,broken clouds
160,Bengkulu,ID,-3.8004,102.2655,76.06,93,99,4.14,overcast clouds
161,Saint-Joseph,RE,-21.3667,55.6167,70.47,83,38,7.99,light rain
162,Samarai,PG,-10.6167,150.6667,81.05,80,88,4.83,overcast clouds
163,Kavieng,PG,-2.5744,150.7967,82.6,79,79,8.97,light rain
164,Nadapuram,IN,11.7,75.6667,77.88,91,81,2.57,broken clouds
165,Orlik,RU,52.5178,99.825,31.41,95,88,4.27,overcast clouds
166,Maceio,BR,-9.6658,-35.7353,80.04,89,40,6.91,scattered clouds
167,Lorengau,PG,-2.0226,147.2712,82.56,76,55,6.02,broken clouds
168,Ahipara,NZ,-35.1667,173.1667,67.69,94,100,21.41,light rain
169,Longyearbyen,SJ,78.2186,15.6401,28.24,80,75,2.3,broken clouds
170,Mirnyy,RU,62.5353,113.9611,31.86,95,100,4.27,overcast clouds
